,embed_1,embed_2,url
123,11.375548,-8.172564,https://www.wildberries.ru/catalog/39686191/detail.aspx
124,3.794969,-8.932812,https://www.wildberries.ru/catalog/168277164/detail.aspx
125,12.425125,-5.2854295,https://www.wildberries.ru/catalog/158442516/detail.aspx
126,6.4599876,-10.497607,https://www.wildberries.ru/catalog/7422260/detail.aspx
127,18.246277,9.210407,https://www.wildberries.ru/catalog/150217420/detail.aspx
128,0.20302743,5.422262,https://www.wildberries.ru/catalog/18703075/detail.aspx
129,17.83803,9.491686,https://www.wildberries.ru/catalog/163191010/detail.aspx
130,6.0278497,-11.699512,https://www.wildberries.ru/catalog/171216830/detail.aspx
131,4.131403,-0.4734194,https://www.wildberries.ru/catalog/155001155/detail.aspx
132,2.8601742,-1.0430101,https://www.wildberries.ru/catalog/14381310/detail.aspx
133,9.945827,3.5011613,https://www.wildberries.ru/catalog/100046595/detail.aspx
134,12.856417,7.138479,https://www.wildberries.ru/catalog/6868655/detail.aspx
135,3.0090585,-0.95000374,https://www.wildberries.ru/catalog/18000838/detail.aspx
136,14.29983,7.2378716,https://www.wildberries.ru/catalog/165865686/detail.aspx
137,2.8860223,-0.97091186,https://www.wildberries.ru/catalog/9115599/detail.aspx
138,5.1352887,-10.232345,https://www.wildberries.ru/catalog/50970844/detail.aspx
139,12.980024,9.90261,https://www.wildberries.ru/catalog/28883593/detail.aspx
140,1.7335614,-1.4832971,https://www.wildberries.ru/catalog/153271626/detail.aspx
141,-8.102587,-0.17802759,https://www.wildberries.ru/catalog/149295984/detail.aspx
142,10.966452,-0.86362976,https://www.wildberries.ru/catalog/14817418/detail.aspx
143,11.537215,-8.179846,https://www.wildberries.ru/catalog/59896377/detail.aspx
144,16.891508,7.1928363,https://www.wildberries.ru/catalog/132215544/detail.aspx
145,14.857093,8.634034,https://www.wildberries.ru/catalog/152490525/detail.aspx
146,0.4303654,6.260998,https://www.wildberries.ru/catalog/140019466/detail.aspx
147,13.647027,-4.585374,https://www.wildberries.ru/catalog/159198941/detail.aspx
148,3.2610962,15.951566,https://www.wildberries.ru/catalog/55941111/detail.aspx
149,17.452166,8.653104,https://www.wildberries.ru/catalog/158580234/detail.aspx
150,15.005126,6.477504,https://www.wildberries.ru/catalog/147305754/detail.aspx
151,15.938538,8.457844,https://www.wildberries.ru/catalog/150636285/detail.aspx
152,6.336725,-9.807612,https://www.wildberries.ru/catalog/168889370/detail.aspx
153,14.911353,7.4235315,https://www.wildberries.ru/catalog/155855159/detail.aspx
154,15.26277,7.0773444,https://www.wildberries.ru/catalog/167722533/detail.aspx
155,10.927818,11.648368,https://www.wildberries.ru/catalog/58232457/detail.aspx
156,2.938284,1.6392293,https://www.wildberries.ru/catalog/168453859/detail.aspx
157,2.5119805,-0.48098803,https://www.wildberries.ru/catalog/153694483/detail.aspx
158,14.676434,10.244205,https://www.wildberries.ru/catalog/151322245/detail.aspx
159,3.310319,1.0008823,https://www.wildberries.ru/catalog/34190391/detail.aspx
160,13.692878,-3.1441274,https://www.wildberries.ru/catalog/171784899/detail.aspx
161,0.11470084,6.4852877,https://www.wildberries.ru/catalog/44876644/detail.aspx
162,2.4832697,-1.1702776,https://www.wildberries.ru/catalog/151926342/detail.aspx
163,3.747665,18.458803,https://www.wildberries.ru/catalog/131050657/detail.aspx
164,12.177722,8.185228,https://www.wildberries.ru/catalog/21652743/detail.aspx
165,16.255894,9.216445,https://www.wildberries.ru/catalog/138558359/detail.aspx
166,17.166357,8.305958,https://www.wildberries.ru/catalog/146386349/detail.aspx
167,13.025341,7.0588837,https://www.wildberries.ru/catalog/66846867/detail.aspx
168,-8.14157,-0.21621493,https://www.wildberries.ru/catalog/147295833/detail.aspx
169,0.3229369,6.637862,https://www.wildberries.ru/catalog/25802277/detail.aspx
170,12.150841,-4.9904366,https://www.wildberries.ru/catalog/108690956/detail.aspx
171,2.999702,16.977875,https://www.wildberries.ru/catalog/169363555/detail.aspx
172,14.153207,6.8650064,https://www.wildberries.ru/catalog/166181469/detail.aspx
173,9.601906,1.5338552,https://www.wildberries.ru/catalog/171471378/detail.aspx
174,15.844398,8.4718685,https://www.wildberries.ru/catalog/145640871/detail.aspx
175,17.110489,8.854562,https://www.wildberries.ru/catalog/144498019/detail.aspx
176,1.8623418,7.2572374,https://www.wildberries.ru/catalog/161909649/detail.aspx
177,6.0699053,-11.636852,https://www.wildberries.ru/catalog/138733146/detail.aspx
178,14.18832,-3.999946,https://www.wildberries.ru/catalog/171629462/detail.aspx
179,12.346089,-5.063408,https://www.wildberries.ru/catalog/158706637/detail.aspx
180,13.574476,-3.2982113,https://www.wildberries.ru/catalog/13308721/detail.aspx
181,16.51285,6.9627576,https://www.wildberries.ru/catalog/139355189/detail.aspx
182,-1.1869754,4.9648023,https://www.wildberries.ru/catalog/36137052/detail.aspx
183,14.599543,10.229774,https://www.wildberries.ru/catalog/38868494/detail.aspx
184,9.249827,-0.1333738,https://www.wildberries.ru/catalog/167727379/detail.aspx
185,5.345268,-8.605167,https://www.wildberries.ru/catalog/146964935/detail.aspx
186,16.274656,8.243005,https://www.wildberries.ru/catalog/11198138/detail.aspx
